line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
23,MILK LONGLIFEMilk Full Fat UHT1L,Milk Full Fat UHT 1 L,0.8745,"Arla Organic Full Fat UHT Milk, 1L",12.75,0.8745,5711953067822,20,"Elle & Vire Uht Full Cream Milk, 1L",12.75,0.649,3451791340399,20,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",22.5,0.8359,6281007032391,20
24,CLEANING TOOLS & DISPOSABLESKitchen roll 3+11 x 4pack,Kitchen Roll 4 Pack,0.62,Scott Kitchen Towel 2 Rolls,9.75,0.62,4710114613008,20,"Glad Kitchen Tidy Roll - Medium, 55cmx61cm, 30 Pieces",18.25,0.59,9310050113287,20,"Kleenex Multipurpose 2Ply Kitchen Towel Rolls, 4x90 Pieces",26.75,0.5827,6281002505869,20
25,PROTEINSWhole chicken 700g700g,Whole Chicken 700 g,0.8923,"Al Rawdah Fresh Whole Chicken, 700g",20.75,0.8923,6291038007008,20,"Daarzood Organic Frozen Chicken Tray Pack, 700g",26.75,0.5974,6297001037010,20,,,,,
26,CLEANING TOOLS & DISPOSABLESFacial tissue 5's1 x 5pack,Facial Tissue 5 Pack,0.65,Cool & Cool Facial Tissue,10,0.65,5060068553820,20,Hello Kitty Facial Tissue 1 Box,13.5,0.6293,8033661562459,20,"Masafi Facial Tissues 2Ply, 5x130 Pieces",14.45,0.6385,6291001013616,20
27,BREADLarge white bread600g,Large White Bread 600 g,,,,,,,,,,,,,,,,
28,ONION & GARLICOnion Pink1kg,Onion Pink 1 kg,0.6521,"Onion Shallots, 1kg",15.95,0.6521,2014360000004,20,"Red Onion Jumbo 60/80 Size Import, 1kg",16.95,0.5843,2003590000007,20,,,,,
29,FROZEN VEGETABLESFrench fries1kg,French Fries 1 kg,,,,,,,,,,,,,,,,
30,POTATO & ROOTCarrot1kg,Carrot 1 kg,1.0,"Carrot, 1kg",7.95,1.0,2012510000003,20,"Carrot Bag, 1kg",7.95,0.9417,0000001381528,20,"Carrot Cake, 1kg",64.75,0.93,2201230000008,20
31,PASTA & INSTANT FOODElbow500g,Elbow 500 g,0.79,"Barilla Pasta Chifferi Elbows No.41, 500g",16.5,0.79,8076809547956,20,,,,,,,,,,
32,PASTA & INSTANT FOODPenne rigate500g,Penne Rigate 500 g,0.9333,"Panzani Penne Rigate, 500g",13,0.9333,3038351483804,20,"Barilla Penne Rigate Pasta, 500g",17.5,0.8979,8076802085738,20,"Decceco Penne Rigate Pasta N41, 500g",21.25,0.8788,8001250014344,20
